id,name,job,hidden_job,head_img,body_img,eco_status,soc_status,freedom,emotion,tags,safety,org_id,rank,relations_json,desc,power_type,org_role,social_level,wealth_level,influence_level,personality_json,initial_dilemma_json
1008,鱼西施,MERCHANT,NONE,head_02.png,body_02.png,POOR,LOW,FULL,NORMAL,BEAUTIFUL;HARDWORKING;GENTLE;POOR,NORMAL,NONE,0,{},城东门外卖鱼的姑娘，因貌美如花被街坊称为鱼西施。,商,,1,1,1,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""理想"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 25, ""desire_type"": ""安定"", ""desire"": ""一般""}","{""title"": ""美貌的诅咒"", ""surface"": ""高衙内看上了鱼西施的美貌，派人来提亲，威胁她若不从就让她无法在城中卖鱼"", ""core_conflict"": ""欲望：靠自己的努力过平凡生活 vs 现实：美貌引来权贵觊觎"", ""desire"": ""继续卖鱼养活自己，不想成为任何人的玩物"", ""block"": ""高衙内的权势让她无处可逃，普通街坊也不敢帮助她""}"
1009,王小乐,MERCHANT,NONE,head_01.png,body_01.png,COMMON,LOW,FULL,NORMAL,SLIPPERY;SNOB;EXPERIENCED,NORMAL,tianshui_alley,1,"{""LEADER"": 1006}",甜水巷的老油条伙计，善于逢迎拍马。,商,MEMBER,1,2,1,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""不重情义"", ""ambition"": 45, ""desire_type"": ""财富"", ""desire"": ""贪心""}","{""title"": ""老伙计的危机"", ""surface"": ""郁芊芊发现王小乐暗中收商户贿赂，在分配摊位时偏袒某些商家"", ""core_conflict"": ""欲望：攒够钱回乡养老 vs 现实：习惯了灰色收入，难以收手"", ""desire"": ""不被赶出商会，保住这份做了二十年的差事"", ""block"": ""郁芊芊年轻气盛，整顿商会纪律，他的老一套行不通了""}"
1010,李师师,ARTISAN,NONE,head_02.png,body_02.png,ENOUGH,HIGH,FULL,NORMAL,BEAUTIFUL;TALENTED;ARTISTIC;FAMOUS,NORMAL,tianshui_alley,5,{},名动京师的花魁，琴棋书画样样精通。,工,MEMBER,3,3,3,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 50, ""desire_type"": ""自由"", ""desire"": ""一般""}","{""title"": ""花魁的归宿"", ""surface"": ""一位富商愿出千金为李师师赎身，但她知道对方只是贪图她的美貌"", ""core_conflict"": ""欲望：摆脱风尘，过上普通女子的生活 vs 现实：赎身后不过是换个笼子"", ""desire"": ""找到一个真正懂她、尊重她的人，而非只把她当玩物"", ""block"": ""花魁的身份既是她的光环也是她的枷锁，无人相信她有真心""}"
1011,袁桐,SCHOLAR,NONE,head_02.png,body_02.png,COMMON,HIGH,FULL,NORMAL,LOVING_MOTHER;SCHOLARLY;RESPECTED,NORMAL,taixue,4,"{""CHILD"": 1012}",太学馆山长夫人，学识渊博，溺爱女儿。,学,LEADER,3,2,4,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""理想"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 30, ""desire_type"": ""亲情"", ""desire"": ""一般""}","{""title"": ""严母与慈母"", ""surface"": ""孙小溪又逃课去大相国寺喂鸽子，袁桐不知该严厉管教还是继续纵容"", ""core_conflict"": ""欲望：让女儿成为知书达理的大家闺秀 vs 现实：女儿天性活泼，不爱读书"", ""desire"": ""女儿能快乐成长，同时又不辜负太学馆的期望"", ""block"": ""山长夫人的身份让她必须维持体面，但女儿的不争气让她颜面尽失""}"
1012,孙小溪,SCHOLAR,NONE,head_02.png,body_02.png,COMMON,LOW,FULL,NORMAL,PLAYFUL;ANIMAL_LOVER;INTELLIGENT,NORMAL,taixue,1,"{""MOTHER"": 1011}",太学馆学生，聪明伶俐但爱逃课玩耍。,学,MEMBER,1,2,1,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 35, ""desire_type"": ""自由"", ""desire"": ""一般""}","{""title"": ""笼中鸟"", ""surface"": ""袁桐要求孙小溪参加即将到来的才女选拔，但她只想每天去大相国寺喂鸽子"", ""core_conflict"": ""欲望：自由自在地玩耍，不想被规矩束缚 vs 现实：身为山长之女，必须维持体面"", ""desire"": ""做一个普通女孩，而不是什么才女"", ""block"": ""母亲的期望和太学馆的压力让她喘不过气""}"
1013,鲁智深,MONK,NONE,head_01.png,body_01.png,POOR,COMMON,FULL,NORMAL,JUSTICE;STRONG;DRUNK;MONK,NORMAL,daxiangguo,3,"{""FRIEND"": 1002, ""SUBORDINATE"": 1014}",大相国寺知客僧，力大无穷，倒拔垂杨柳。,学,LEADER,2,1,3,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 30, ""desire_type"": ""酒肉"", ""desire"": ""贪心""}","{""title"": ""酒肉穿肠过"", ""surface"": ""鲁智深因醉酒打伤了寺中僧人，方丈要罚他禁闭思过"", ""core_conflict"": ""欲望：追求自由自在、快意恩仇的生活 vs 现实：身为僧人需守清规戒律"", ""desire"": ""做一个行侠仗义的江湖人，而非困于寺中的和尚"", ""block"": ""他确实杀了人，佛门给了他庇护；但佛门清规与他的本性冲突不断""}"
1014,弥乐,SCHOLAR,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,LIAR;GREEDY;FORTUNE_TELLER,NORMAL,daxiangguo,2,"{""LEADER"": 1013}",以算命为幌子的骗子和尚，喜欢偷偷吃肉。,学,MEMBER,1,1,1,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""不重情义"", ""ambition"": 40, ""desire_type"": ""财富"", ""desire"": ""贪心""}","{""title"": ""假和尚的真麻烦"", ""surface"": ""弥乐骗了一位富商的钱，对方发现后带人来大相国寺要人"", ""core_conflict"": ""欲望：继续在大相国寺混吃混喝 vs 现实：骗子身份即将暴露"", ""desire"": ""保住大相国寺的庇护，继续他的算命生意"", ""block"": ""鲁智深最讨厌骗子，如果知道真相可能会把他扔出寺门""}"
1015,阿禅,SCHOLAR,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,KIND;ORPHAN;INNOCENT,NORMAL,daxiangguo,1,{},身世凄惨的小沙弥，被街坊邻居养大。,学,MEMBER,1,1,1,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""理想"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 15, ""desire_type"": ""亲情"", ""desire"": ""一般""}","{""title"": ""小沙弥的疑惑"", ""surface"": ""阿禅听到其他僧人议论他是被遗弃在寺门口的野孩子，开始怀疑自己的身世"", ""core_conflict"": ""欲望：知道自己的亲生父母是谁 vs 现实：可能永远无法得知真相"", ""desire"": ""找到亲生父母，或者接受大相国寺就是他的家"", ""block"": ""年幼的他既渴望亲情，又害怕知道真相后无法面对""}"
1016,洪小六,THUG,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,POOR;KIND;LOYAL;STREET_SMART,NORMAL,beggar_gang,2,{},丐帮小头目，虽贫穷但热心肠，有江湖义气。,游,LEADER,1,1,2,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 45, ""desire_type"": ""义气"", ""desire"": ""一般""}","{""title"": ""乞丐的尊严"", ""surface"": ""冬天将至，丐帮弟兄们缺衣少食，洪小六考虑是否要向富商低头乞讨"", ""core_conflict"": ""欲望：保持江湖儿女的骨气 vs 现实：弟兄们可能冻饿而死"", ""desire"": ""让丐帮弟兄们有口饭吃，有件衣服御寒"", ""block"": ""他不愿向欺压百姓的权贵低头，但普通百姓的施舍也有限""}"
1017,猎户张三,THUG,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,HERO;JUSTICE;HUNTER;ARCHERY;RECRUITABLE,NORMAL,NONE,0,"{""ENEMY"": 1023}",城外山林的猎户，为人仗义，箭术精湛。曾被黑风大王手下欺负过，对泼皮恶霸深恶痛绝。目前独居，以打猎为生。,游,,1,1,1,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 40, ""desire_type"": ""正义"", ""desire"": ""一般""}","{""title"": ""孤胆猎人"", ""surface"": ""张三发现黑风大王又在欺负山下的村民，但他知道单凭自己无法对抗整个黑风寨"", ""core_conflict"": ""欲望：为被欺负的村民讨回公道 vs 现实：势单力薄，可能白白送死"", ""desire"": ""找到志同道合的人，一起铲除黑风寨这个毒瘤"", ""block"": ""村民们都怕事不敢反抗，官府也被高府收买，他孤立无援""}"
1018,赵师爷,OFFICIAL,NONE,head_01.png,body_01.png,ENOUGH,HIGH,FULL,NORMAL,BUREAUCRAT;EXPERIENCED;SYCOPHANT,NORMAL,kaifeng_fu,3,"{""LEADER"": 1000}",开封府资深师爷，熟悉法典，阿谀奉承。,士,MEMBER,3,3,2,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""不重情义"", ""ambition"": 50, ""desire_type"": ""权力"", ""desire"": ""贪心""}","{""title"": ""老臣的焦虑"", ""surface"": ""方承意上任后重用年轻人，赵师爷担心自己的位置不保"", ""core_conflict"": ""欲望：保住资深师爷的地位和体面 vs 现实：新上司不信任老臣"", ""desire"": ""证明老臣仍有价值，同时培养接班人确保后路"", ""block"": ""年轻人嫌他保守，上司嫌他圆滑，他夹在中间进退两难""}"
1019,铁牛,GUARD,NONE,head_01.png,body_01.png,COMMON,COMMON,FULL,NORMAL,LOYAL;STRONG;DUTIFUL,NORMAL,kaifeng_fu,2,"{""COLLEAGUE"": 1002}",府衙护卫队长，忠诚勇猛，保护重要官员。,兵,BODYGUARD,2,2,1,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 40, ""desire_type"": ""荣誉"", ""desire"": ""一般""}","{""title"": ""护卫的良心"", ""surface"": ""铁牛发现方承意的一些命令有违正义，但作为护卫他必须服从"", ""core_conflict"": ""欲望：做一个正直的武士 vs 现实：身为护卫必须服从主公"", ""desire"": ""既能尽忠职守，又不违背内心的正义"", ""block"": ""方承意手段狠辣，有些命令让他良心不安，但背叛主公更是大逆不道""}"
1020,钱掌柜,MERCHANT,NONE,head_01.png,body_01.png,ENOUGH,COMMON,FULL,NORMAL,MERCHANT;CALCULATING;HONEST_BUSINESS,NORMAL,tianshui_alley,3,"{""LEADER"": 1006}",布庄掌柜，精于算计，但讲求诚信。,商,MEMBER,2,3,2,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 40, ""desire_type"": ""财富"", ""desire"": ""贪心""}","{""title"": ""诚信的代价"", ""surface"": ""钱掌柜发现一批布料有瑕疵，如果如实告知会损失一大笔钱，如果隐瞒可以大赚"", ""core_conflict"": ""欲望：坚持诚信经营 vs 现实：生意难做，需要这笔钱周转"", ""desire"": ""守住诚信的底线，同时不让布庄倒闭"", ""block"": ""郁芊芊整顿商会，对违规者严惩不贷，但他确实急需这笔钱救命""}"
1021,老李头,FARMER,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,POOR;HARDWORKING;SIMPLE,NORMAL,NONE,0,{},城郊老农，辛苦劳作，生活贫困。,农,,1,1,0,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 10, ""desire_type"": ""安定"", ""desire"": ""一般""}","{""title"": ""老农的无奈"", ""surface"": ""高大胜奉高衙内之命来收租，老李头今年的收成不好，交不起租子"", ""core_conflict"": ""欲望：保住祖传的几亩薄田 vs 现实：天灾人祸，无力交租"", ""desire"": ""能有个安稳的晚年，不给儿女添麻烦"", ""block"": ""高衙内催租催得紧，官府也被收买不为百姓做主，他走投无路""}"
1022,小翠,ARTISAN,NONE,head_02.png,body_02.png,POOR,LOW,FULL,NORMAL,HARDWORKING;SKILLFUL;AMBITIOUS,NORMAL,NONE,0,{},绣房女工，手艺精巧，希望有朝一日开个绣庄。,工,,1,1,0,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 65, ""desire_type"": ""事业"", ""desire"": ""贪心""}","{""title"": ""绣娘的梦想"", ""surface"": ""小翠攒了三年的钱准备开绣庄，但房东突然涨租，资金不够了"", ""core_conflict"": ""欲望：靠手艺改变命运，开自己的绣庄 vs 现实：底层女子创业艰难，处处碰壁"", ""desire"": ""靠自己的绣活手艺，在汴京闯出一片天地"", ""block"": ""没有背景没有本钱，绣房老板还想把她培养成接班人，不愿放她走""}"
1023,黑风大王,BANDIT,NONE,head_01.png,body_01.png,COMMON,HIGH,FULL,NORMAL,VILLAIN;STRONG;RUTHLESS;BANDIT_CHIEF;GAO_PUPPET,NORMAL,heifeng_zhai,5,"{""SUBORDINATE"": 1026, ""SECRET_BACKER"": 1003}","黑风寨大当家，本名王老虎，江湖人称""黑风大王""。表面是占山为王的山贼头子，实则暗中受高府资助，在城内外横行霸道，替高衙内做脏活。",匪,LEADER,3,2,2,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""不重情义"", ""ambition"": 70, ""desire_type"": ""权力"", ""desire"": ""贪心""}","{""title"": ""傀儡的觉醒"", ""surface"": ""高衙内命令黑风大王去绑架一位朝廷命官的家眷，这会让他成为朝廷通缉的要犯"", ""core_conflict"": ""欲望：摆脱高府的控制，真正自立为王 vs 现实：没有高府的资助，黑风寨无法维持"", ""desire"": ""既能保持黑风寨的独立，又不失去高府这个金主"", ""block"": ""高衙内越来越过分的要求让他骑虎难下，反抗意味着毁灭，顺从意味着万劫不复""}"
1024,山贼甲,BANDIT,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,VILLAIN;SIMPLE;FOLLOWER,NORMAL,heifeng_zhai,1,"{""LEADER"": 1023}",黑风寨喽啰，听命于黑风大王。,匪,MEMBER,1,1,1,"{""temper"": ""暴躁"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""不重情义"", ""ambition"": 30, ""desire_type"": ""财富"", ""desire"": ""贪心""}","{""title"": ""喽啰的觉悟"", ""surface"": ""山贼甲听说官府要围剿黑风寨，考虑是否要逃跑"", ""core_conflict"": ""欲望：离开黑风寨，重新做人 vs 现实：没有一技之长，离开也是死路一条"", ""desire"": ""能有个安稳的生计，不再过刀口舔血的日子"", ""block"": ""他犯过太多事，官府不会放过他，黑风大王也不会放他走""}"
1025,山贼乙,BANDIT,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,VILLAIN;SIMPLE;FOLLOWER,NORMAL,heifeng_zhai,1,"{""LEADER"": 1023}",黑风寨喽啰，跟着黑风大王混饭吃。,匪,MEMBER,1,1,1,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""不重情义"", ""ambition"": 20, ""desire_type"": ""安定"", ""desire"": ""一般""}","{""title"": ""喽啰的悲哀"", ""surface"": ""山贼乙在黑风寨里总是被欺负，分到的赃物最少，还要做最危险的活"", ""core_conflict"": ""欲望：离开黑风寨，重新做人 vs 现实：胆小怕事，不敢逃跑"", ""desire"": ""能有个安稳的生计，不再被人欺负"", ""block"": ""他太胆小，既不敢反抗黑风大王，也不敢逃跑，只能继续忍气吞声""}"
1026,泼皮牛二,BANDIT,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,VILLAIN;DRUNK;BULLY;THUG,NORMAL,heifeng_zhai,2,"{""PARTNER"": 1027, ""LEADER"": 1023}",街头泼皮，黑风大王在城内的头号打手。好酒无赖，专门欺负老实人，负责收保护费、调戏妇女等脏活。,匪,MEMBER,1,1,0,"{""temper"": ""暴躁"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""不重情义"", ""ambition"": 35, ""desire_type"": ""酒色"", ""desire"": ""贪心""}","{""title"": ""泼皮的末路"", ""surface"": ""牛二喝多了酒，调戏了高府的一个丫鬟，高衙内要拿他问罪"", ""core_conflict"": ""欲望：继续过欺软怕硬的泼皮生活 vs 现实：得罪了惹不起的人"", ""desire"": ""保住性命，继续他的泼皮生涯"", ""block"": ""高衙内比他还狠，黑风大王也不会为了他得罪高府""}"
1027,泼皮狗蛋,BANDIT,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,VILLAIN;SIMPLE;FOLLOWER;THUG,NORMAL,heifeng_zhai,1,"{""PARTNER"": 1026, ""LEADER"": 1023}",牛二的跟班，脑子不好使但拳头硬。跟着牛二在城内欺压百姓。,匪,MEMBER,1,1,0,"{""temper"": ""暴躁"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 20, ""desire_type"": ""酒肉"", ""desire"": ""贪心""}","{""title"": ""跟班的悲哀"", ""surface"": ""狗蛋发现牛二得罪了高衙内，可能会被处死，他不知该跟着牛二还是另寻出路"", ""core_conflict"": ""欲望：继续跟着牛二混吃混喝 vs 现实：牛二可能自身难保"", ""desire"": ""能继续有酒有肉，不用自己动脑子"", ""block"": ""他太笨，没有牛二带着，他连怎么欺负人都不知道""}"
1028,青狼,BANDIT,NONE,head_01.png,body_01.png,COMMON,HIGH,FULL,NORMAL,VILLAIN;SMART;RUTHLESS;BANDIT_CHIEF,NORMAL,qinglang_bang,5,{},青狼帮大当家，狡猾阴险，善于伏击。,匪,LEADER,3,2,2,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""不重情义"", ""ambition"": 75, ""desire_type"": ""权力"", ""desire"": ""贪心""}","{""title"": ""狼王的野心"", ""surface"": ""青狼想吞并附近几个小山寨，但黑风大王背后有高府撑腰，不好下手"", ""core_conflict"": ""欲望：成为汴京周边最大的山贼势力 vs 现实：黑风寨有官府背景，硬碰硬会吃亏"", ""desire"": ""找到黑风寨的弱点，一举吞并或瓦解他们"", ""block"": ""黑风大王虽然鲁莽，但高府的庇护让青狼帮投鼠忌器""}"
1029,铁塔,BANDIT,NONE,head_01.png,body_01.png,POOR,COMMON,FULL,NORMAL,VILLAIN;STRONG;SIMPLE,NORMAL,qinglang_bang,3,"{""LEADER"": 1028}",青狼帮二当家，力大无穷。,匪,MEMBER,2,1,1,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 30, ""desire_type"": ""酒肉"", ""desire"": ""贪心""}","{""title"": ""二当家的烦恼"", ""surface"": ""铁塔发现青狼为了扩张势力，不惜出卖帮中兄弟，他不知该继续追随还是提醒兄弟们"", ""core_conflict"": ""欲望：对青狼忠心耿耿 vs 现实：青狼的野心可能害死帮中兄弟"", ""desire"": ""既能忠于大哥，又能保护帮中兄弟"", ""block"": ""他脑子笨，分不清青狼的做法是对是错，只知道大哥说啥他做啥""}"
