id,title,desc_template,type,tag_main,tag_target,intro_dialog_id,btn_a,eff_a,req_a,chain_a,dialog_a_id,btn_b,eff_b,req_b,chain_b,dialog_b_id,btn_c,eff_c,req_c,chain_c,dialog_c_id,weight
108,合同诈骗,不识字的脚夫 {A} 被骗签了卖身契。行骗者 {B} 背后是本城最大的人牙子。,CHOICE,POOR,THUG,E108_INTRO,撕毁契约(得罪黑帮),PLAYER:Fame:200;PLAYER:AddTag:JUSTICE;PLAYER:safety:DANGER;SELF:freedom:FULL;SELF:affinity:PLAYER:80;OTHER:affinity:PLAYER:-100,,,E108_A,买下脚夫(花钱了事),PLAYER:Money:-300;PLAYER:Fame:-30;SELF:is_follower:True;SELF:freedom:SERVANT;OTHER:affinity:PLAYER:20,MONEY:300,,E108_B,假装没看见(明哲保身),PLAYER:Fame:-100;SELF:freedom:SLAVE;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-50,,,E108_C,8
109,关扑成瘾,赌徒 {A} 输光家产，赌坊老板 {B} 要他卖儿卖女抵债。{A} 跪求你救他一命。,CHOICE,GAMBLER,MERCHANT,E109_INTRO,替他还债(养虎为患),PLAYER:Money:-500;PLAYER:Fame:50;SELF:emotion:HAPPY;SELF:tags:ADDICTED;SELF:affinity:PLAYER:30,MONEY:500,,E109_A,砸了赌坊(惹祸上身),PLAYER:Fame:200;PLAYER:AddTag:JUSTICE;PLAYER:safety:DANGER;SELF:safety:NORMAL;OTHER:affinity:PLAYER:-100;OTHER:tags:ENEMY,FOLLOWER:THUG,,E109_B,买下孩子(保住血脉),PLAYER:Money:-200;PLAYER:Fame:-50;SELF:family:BROKEN;SELF:emotion:SAD,MONEY:200,,E109_C,10
201,天价聘礼,穷书生 {A} 凑不齐聘礼，女方父亲 {B} 扬言三日内不交钱就退婚另嫁。{A}已准备卖身为奴。,CHOICE,POOR,RICH,E201_INTRO,资助聘礼(散财),PLAYER:Money:-800;PLAYER:Fame:200;SELF:emotion:GRATEFUL;SELF:affinity:PLAYER:80;OTHER:affinity:PLAYER:30,MONEY:800,,E201_A,说服退婚(棒打鸳鸯),PLAYER:Fame:50;SELF:emotion:DESPAIR;SELF:tags:HEARTBROKEN;OTHER:affinity:PLAYER:50;OTHER:emotion:HAPPY,,,E201_B,借他高利贷(埋雷),PLAYER:Money:200;PLAYER:Fame:-100;SELF:safety:DANGER;SELF:affinity:PLAYER:-30,,,E201_C,10
202,赘婿的尊严,赘婿 {A} 被岳家当狗使唤。他私下告诉你，岳父 {B} 暗中贪污，他手握证据想要翻身。,CHOICE,HUSBAND,RICH,E202_INTRO,协助揭发(正义),PLAYER:Fame:200;PLAYER:AddTag:JUSTICE;SELF:emotion:HAPPY;SELF:eco_status:RICH;OTHER:freedom:PRISON;OTHER:affinity:PLAYER:-100,,,E202_A,劝他隐忍(保全),PLAYER:Fame:-50;SELF:emotion:DEPRESSED;SELF:tags:COWARD;OTHER:affinity:PLAYER:20,,,E202_B,两边勒索(黑吃黑),PLAYER:Money:500;PLAYER:Fame:-200;PLAYER:AddTag:BLACKMAILER;SELF:affinity:PLAYER:-50;OTHER:affinity:PLAYER:-80,,,E202_C,10
203,扶弟魔,丈夫 {A} 发现妻子偷光积蓄给了弟弟 {B}。{A}要休妻，{B}威胁要打断{A}的腿。你是他们的邻居兼债主。,CHOICE,HUSBAND,THUG,E203_INTRO,支持丈夫(休妻),PLAYER:Fame:50;SELF:emotion:ANGRY;SELF:affinity:PLAYER:30;OTHER:affinity:PLAYER:-80;OTHER:emotion:ANGRY,,,E203_A,支持弟弟(亲情),PLAYER:Fame:-50;SELF:emotion:SAD;SELF:affinity:PLAYER:-50;OTHER:affinity:PLAYER:30,,,E203_B,要回欠款(债务优先),PLAYER:Money:300;PLAYER:Fame:-30;SELF:affinity:PLAYER:-30;OTHER:eco_status:POOR;OTHER:affinity:PLAYER:-30,,,E203_C,8
204,假名媛拼单,女子 {A} 拼单租借名贵首饰参加诗会，不慎弄丢。首饰主人 {B} 是你的生意伙伴，价值千金。,CHOICE,POOR,MERCHANT,E204_INTRO,替她赔偿(冤大头),PLAYER:Money:-500;PLAYER:Fame:100;SELF:emotion:GRATEFUL;SELF:affinity:PLAYER:80;OTHER:affinity:PLAYER:20,MONEY:500,,E204_A,让她卖身抵债,PLAYER:Fame:-100;SELF:freedom:SLAVE;SELF:emotion:DESPAIR;OTHER:affinity:PLAYER:30;OTHER:emotion:HAPPY,,,E204_B,私下找回(暗箱操作),PLAYER:Money:-200;PLAYER:Fame:50;SELF:emotion:HAPPY;OTHER:affinity:PLAYER:-50;OTHER:tags:CHEATED,MONEY:200,,E204_C,8
205,指腹为婚,富家女 {A} 爱上穷书生，却被父亲强迫嫁给太尉之子 {B}。太尉之子是个纨绔，但得罪太尉后果严重。,CHOICE,RICH,NOBLE,E205_INTRO,协助私奔(得罪太尉),PLAYER:Fame:100;PLAYER:safety:DANGER;SELF:emotion:HAPPY;SELF:family:ISOLATED;OTHER:affinity:PLAYER:-100;OTHER:tags:ENEMY,,,E205_A,劝她认命(明哲保身),PLAYER:Fame:-50;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-60;OTHER:affinity:PLAYER:30,,,E205_B,揭发太尉之子(风险极高),PLAYER:Fame:300;PLAYER:AddTag:BRAVE;PLAYER:safety:DANGER;SELF:emotion:HAPPY;OTHER:freedom:PRISON,FOLLOWER:SCHOLAR,,E205_C,8
206,抛妻弃子,新科状元 {A} 要休掉糟糠之妻 {B}。{A}曾是你资助的穷书生，{B}是你的远房表妹。,CHOICE,SCHOLAR,WIFE,E206_INTRO,写文揭露(毁他前程),PLAYER:Fame:200;SELF:soc_status:LOW;SELF:tags:HYPOCRITE;SELF:affinity:PLAYER:-100;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:50,,,E206_A,收受贿赂(助纣为虐),PLAYER:Money:800;PLAYER:Fame:-300;PLAYER:AddTag:CORRUPT;SELF:affinity:PLAYER:30;OTHER:emotion:DESPAIR;OTHER:affinity:PLAYER:-100,,,E206_B,调解复合(和事佬),PLAYER:Fame:100;SELF:affinity:PLAYER:-20;SELF:emotion:ANGRY;OTHER:emotion:SAD;OTHER:affinity:PLAYER:20,,,E206_C,8
207,重男轻女,媳妇 {A} 被婆婆逼迫连续生育，身体已垮。婆婆 {B} 是你母亲的故交，曾照顾过你的童年。,CHOICE,WIFE,OLD,E207_INTRO,强行带走媳妇(得罪长辈),PLAYER:Fame:150;PLAYER:AddTag:COMPASSION;SELF:hp:NORMAL;SELF:emotion:GRATEFUL;SELF:affinity:PLAYER:80;OTHER:affinity:PLAYER:-100,,,E207_A,劝媳妇忍耐(保守),PLAYER:Fame:-100;SELF:hp:POOR;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-50;OTHER:affinity:PLAYER:30,,,E207_B,出钱请医调理(折中),PLAYER:Money:-300;PLAYER:Fame:50;SELF:hp:ENOUGH;SELF:affinity:PLAYER:30;OTHER:affinity:PLAYER:-20,MONEY:300,,E207_C,8
208,断袖疑云,知名侠客 {A} 被传与书童 {B} 关系暧昧。{A}是你的救命恩人，正遭到江湖围攻。{B}其实是女扮男装的官家千金。,CHOICE,HERO,DANCER,E208_INTRO,揭露真相(女扮男装),PLAYER:Fame:100;SELF:emotion:ANGRY;SELF:affinity:PLAYER:-30;OTHER:safety:DANGER;OTHER:family:ISOLATED,,,E208_A,力挺恩人(不惧流言),PLAYER:Fame:-150;PLAYER:AddTag:LOYAL;SELF:emotion:HAPPY;SELF:affinity:PLAYER:80;OTHER:emotion:HAPPY,,,E208_B,沉默旁观(明哲保身),PLAYER:Fame:-30;SELF:emotion:SAD;SELF:affinity:PLAYER:-40;OTHER:emotion:NORMAL,,,E208_C,8
301,当街碰瓷,老人 {A} 倒在马车前哀嚎，车主 {B} 是你的债主。围观群众义愤填膺，但你怀疑老人是职业碰瓷。,CHOICE,OLD,MERCHANT,E301_INTRO,送医赔钱(帮老人),PLAYER:Money:-300;PLAYER:Fame:150;SELF:emotion:HAPPY;SELF:affinity:PLAYER:50;OTHER:affinity:PLAYER:-50,MONEY:300,,E301_A,替债主说话(帮车主),PLAYER:Fame:-100;SELF:emotion:ANGRY;SELF:affinity:PLAYER:-80;OTHER:affinity:PLAYER:50,,,E301_B,当众揭穿(需医生),PLAYER:Fame:100;SELF:tags:LIAR;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-100;OTHER:affinity:PLAYER:30,FOLLOWER:DOCTOR,,E301_C,12
302,造谣一张嘴,外乡人 {A} 被谣传是江洋大盗。造谣者 {B} 是本地富商，你的重要客户。{A}已走投无路。,CHOICE,POOR,MERCHANT,E302_INTRO,收留外乡人(得罪客户),PLAYER:Fame:100;SELF:safety:NORMAL;SELF:is_follower:True;SELF:affinity:PLAYER:80;OTHER:affinity:PLAYER:-80,,,E302_A,驱逐外乡人(讨好客户),PLAYER:Fame:-80;SELF:safety:EXILE;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-100;OTHER:affinity:PLAYER:40,,,E302_B,查明真相(需文人),PLAYER:Fame:150;SELF:emotion:HAPPY;SELF:affinity:PLAYER:60;OTHER:freedom:PRISON;OTHER:affinity:PLAYER:-100,FOLLOWER:SCHOLAR,,E302_C,10
303,熊孩子作恶,小孩划坏了画家 {B} 的名贵字画。家长 {A} 是你的老相识，拒不赔偿还撒泼打滚。,CHOICE,RICH,SCHOLAR,E303_INTRO,替相识赔偿(破财),PLAYER:Money:-200;PLAYER:Fame:50;SELF:affinity:PLAYER:30;SELF:tags:SHAMELESS;OTHER:emotion:SAD;OTHER:affinity:PLAYER:40,MONEY:200,,E303_A,替画家讨公道(得罪相识),PLAYER:Fame:100;SELF:affinity:PLAYER:-80;SELF:emotion:ANGRY;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:60,,,E303_B,各打五十大板(和稀泥),PLAYER:Fame:-30;SELF:affinity:PLAYER:-30;OTHER:affinity:PLAYER:-30,,,E303_C,10
304,流浪狗风波,爱狗人士 {A} 喂养的流浪狗咬伤了孩童。孩童父亲 {B} 要求打死狗并索赔。双方各有支持者。,CHOICE,POOR,THUG,E304_INTRO,支持打狗赔钱,PLAYER:Fame:80;SELF:emotion:SAD;SELF:affinity:PLAYER:-60;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:50,,,E304_A,保护狗主人,PLAYER:Fame:-50;PLAYER:Money:-200;SELF:emotion:HAPPY;SELF:affinity:PLAYER:60;OTHER:affinity:PLAYER:-80;OTHER:emotion:ANGRY,MONEY:200,,E304_B,建立收容所(根治),PLAYER:Money:-500;PLAYER:Fame:200;SELF:affinity:PLAYER:40;OTHER:affinity:PLAYER:30,MONEY:500,,E304_C,8
305,插队冲突,壮汉 {A} 在你的施粥铺前插队。被插队的 {B} 是怀孕妇人，当场晕倒。,CHOICE,THUG,WIFE,E305_INTRO,武力教训壮汉,PLAYER:Fame:150;SELF:hp:POOR;SELF:emotion:ANGRY;SELF:affinity:PLAYER:-100;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:60,,,E305_A,多给一份(息事宁人),PLAYER:Fame:-50;SELF:tags:GREEDY;SELF:affinity:PLAYER:20;OTHER:emotion:SAD;OTHER:affinity:PLAYER:-30,,,E305_B,送孕妇就医,PLAYER:Money:-150;PLAYER:Fame:100;SELF:emotion:NORMAL;OTHER:hp:NORMAL;OTHER:affinity:PLAYER:80,MONEY:150,,E305_C,10
306,噪音扰民,铁匠 {A} 半夜打铁赶工，因为要还你的债。书生 {B} 神经衰弱，明日就是大考。,CHOICE,CRAFTSMAN,SCHOLAR,E306_INTRO,让铁匠停工(损失债务),PLAYER:Fame:50;SELF:eco_status:POOR;SELF:affinity:PLAYER:-50;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:50,,,E306_A,让书生忍耐(保债务),PLAYER:Fame:-50;SELF:affinity:PLAYER:30;OTHER:hp:POOR;OTHER:affinity:PLAYER:-80;OTHER:tags:FAILED,,,E306_B,资助书生搬家,PLAYER:Money:-100;PLAYER:Fame:80;SELF:affinity:PLAYER:20;OTHER:affinity:PLAYER:60;OTHER:emotion:HAPPY,MONEY:100,,E306_C,8
307,地域歧视,本地人 {A} 嘲笑外地客商 {B} 的口音，并开始动手。{A}是你的远房亲戚，{B}是你的合作伙伴。,CHOICE,THUG,MERCHANT,E307_INTRO,帮亲戚(护短),PLAYER:Fame:-80;SELF:emotion:HAPPY;SELF:affinity:PLAYER:50;OTHER:safety:DANGER;OTHER:affinity:PLAYER:-100,,,E307_A,帮伙伴(公道),PLAYER:Fame:100;PLAYER:AddTag:JUSTICE;SELF:emotion:ANGRY;SELF:affinity:PLAYER:-80;OTHER:affinity:PLAYER:60,,,E307_B,报官(两边得罪),PLAYER:Fame:30;SELF:affinity:PLAYER:-40;SELF:freedom:PRISON;OTHER:affinity:PLAYER:-20,,,E307_C,8
308,杀猪盘,貌美女子 {A} 正在骗老人 {B} 的棺材本。老人{B}是你已故恩师的遗孀，女子{A}是你门客的妹妹。,CHOICE,BEAUTIFUL,OLD,E308_INTRO,当面揭穿(得罪门客),PLAYER:Fame:150;SELF:tags:LIAR;SELF:affinity:PLAYER:-100;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:80,,,E308_A,私下收买(花钱了事),PLAYER:Money:-300;PLAYER:Fame:30;SELF:affinity:PLAYER:20;OTHER:emotion:NORMAL,MONEY:300,,E308_B,装作不知(明哲保身),PLAYER:Fame:-100;SELF:eco_status:RICH;OTHER:emotion:DESPAIR;OTHER:affinity:PLAYER:-50,,,E308_C,8
309,假冒官差,假官差 {A} 正在勒索摊贩 {B}。{A}是你小时候的玩伴，落魄至此；{B}是你生意上的竞争对手。,CHOICE,THUG,MERCHANT,E309_INTRO,揭发玩伴(大义灭亲),PLAYER:Fame:200;SELF:freedom:PRISON;SELF:affinity:PLAYER:-100;OTHER:affinity:PLAYER:50,,,E309_A,协助玩伴(落井下石),PLAYER:Money:100;PLAYER:Fame:-150;PLAYER:AddTag:ACCOMPLICE;SELF:affinity:PLAYER:50;OTHER:eco_status:POOR;OTHER:affinity:PLAYER:-80,,,E309_B,放走玩伴(私放),PLAYER:Fame:-50;SELF:affinity:PLAYER:30;SELF:safety:EXILE;OTHER:affinity:PLAYER:-30,,,E309_C,8
310,道德绑架,乞丐 {A} 当众指责你为富不仁。旁边的富商 {B} 看热闹，正是你想攀附的大人物。,CHOICE,POOR,RICH,E310_INTRO,大方施舍(做面子),PLAYER:Money:-200;PLAYER:Fame:100;SELF:emotion:HAPPY;SELF:affinity:PLAYER:40;OTHER:affinity:PLAYER:30,MONEY:200,,E310_A,厉声呵斥(显威严),PLAYER:Fame:-50;SELF:emotion:SAD;SELF:affinity:PLAYER:-60;OTHER:affinity:PLAYER:50;OTHER:emotion:HAPPY,,,E310_B,视而不见(冷漠),PLAYER:Fame:-80;SELF:emotion:DESPAIR;OTHER:affinity:PLAYER:-30,,,E310_C,10
401,金盆洗手难,杀手 {A} 想退隐，组织 {B} 以其家人性命相逼。{A}曾救过你的命，{B}的首领是你的债主。,CHOICE,THUG,EVIL,E401_INTRO,协助灭门(报恩),PLAYER:Money:-500;PLAYER:Fame:300;PLAYER:safety:DANGER;SELF:freedom:FULL;SELF:is_follower:True;SELF:affinity:PLAYER:100;OTHER:affinity:PLAYER:-100,MONEY:500,,E401_A,出卖恩人(领赏),PLAYER:Money:800;PLAYER:Fame:-400;PLAYER:AddTag:TRAITOR;SELF:safety:DEAD;SELF:affinity:PLAYER:-100;OTHER:affinity:PLAYER:50,,,E401_B,送他远走(两不相帮),PLAYER:Fame:-50;SELF:family:ISOLATED;SELF:affinity:PLAYER:30;OTHER:affinity:PLAYER:-50,,,E401_C,8
402,秘籍争夺,一本秘籍引发 {A} 和 {B} 的械斗。{A}是你的门客，{B}是你的生意伙伴。秘籍其实是假的。,CHOICE,FOLLOWER,MERCHANT,E402_INTRO,帮门客抢夺,PLAYER:Fame:-100;SELF:emotion:HAPPY;SELF:affinity:PLAYER:50;OTHER:hp:POOR;OTHER:affinity:PLAYER:-100,,,E402_A,帮伙伴抢夺,PLAYER:Fame:-100;SELF:hp:POOR;SELF:affinity:PLAYER:-80;OTHER:emotion:HAPPY;OTHER:affinity:PLAYER:50,,,E402_B,揭穿假秘籍(需学者),PLAYER:Fame:150;SELF:emotion:ANGRY;SELF:affinity:PLAYER:-30;OTHER:emotion:ANGRY;OTHER:affinity:PLAYER:-30,FOLLOWER:SCHOLAR,,E402_C,8
403,镖局失信,镖局弄丢了寡妇 {A} 的传家宝。镖局总镖头 {B} 是你的结拜兄弟，寡妇{A}是你已故好友的遗孀。,CHOICE,POOR,HERO,E403_INTRO,为寡妇索赔(得罪兄弟),PLAYER:Fame:200;PLAYER:AddTag:JUSTICE;SELF:eco_status:ENOUGH;SELF:affinity:PLAYER:80;OTHER:affinity:PLAYER:-80,,,E403_A,替兄弟说话(亏欠遗孀),PLAYER:Fame:-100;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-80;OTHER:affinity:PLAYER:50,,,E403_B,自掏腰包赔偿,PLAYER:Money:-400;PLAYER:Fame:100;SELF:affinity:PLAYER:50;OTHER:affinity:PLAYER:30,MONEY:400,,E403_C,8
404,冒名顶替,骗子 {A} 冒充大侠招摇撞骗。真正的大侠 {B} 要杀他。{A}是你失散多年的表弟。,CHOICE,LIAR,HERO,E404_INTRO,救表弟(得罪大侠),PLAYER:Money:-100;PLAYER:Fame:-100;SELF:is_follower:True;SELF:affinity:PLAYER:60;OTHER:affinity:PLAYER:-80,MONEY:100,,E404_A,袖手旁观(表弟死),PLAYER:Fame:30;SELF:safety:DEAD;OTHER:affinity:PLAYER:30;OTHER:emotion:HAPPY,,,E404_B,说情饶命(苦求大侠),PLAYER:Fame:50;SELF:safety:EXILE;SELF:affinity:PLAYER:40;OTHER:affinity:PLAYER:-20,,,E404_C,8
405,黑吃黑,{A} 与 {B} 交易违禁品，{A}埋伏了刀斧手准备黑吃黑。{A}是你的债主，{B}是你的救命恩人。,CHOICE,EVIL,MERCHANT,E405_INTRO,告密给{B}(救恩人),PLAYER:Fame:100;SELF:affinity:PLAYER:-100;SELF:tags:ENEMY;OTHER:affinity:PLAYER:80;OTHER:safety:NORMAL,,,E405_A,加入埋伏(帮债主),PLAYER:Money:600;PLAYER:Fame:-400;PLAYER:AddTag:VILLAIN;SELF:affinity:PLAYER:50;OTHER:safety:DEAD,,,E405_B,两边举报(正义),PLAYER:Fame:300;PLAYER:Money:200;SELF:freedom:PRISON;SELF:affinity:PLAYER:-100;OTHER:freedom:PRISON;OTHER:affinity:PLAYER:-100,,,E405_C,8
501,时间穿越者,疯子 {A} 满嘴“YYDS”、“绝绝子”，被官府抓捕。,CHOICE,CRAZY,ANY,保释他(老乡?),PLAYER:Money:-300;PLAYER:Fame:0;SELF:tags:TIMETRAVELER;SELF:is_follower:True,MONEY:300,,送去切片研究,PLAYER:Money:500;PLAYER:Fame:100;SELF:safety:DANGER,,,听不懂(无视),SELF:emotion:CONFUSED,,,5
502,赛博机关人,你发现 {A} 皮肤下竟然是齿轮和电线。,CHOICE,ANY,ANY,隐藏秘密(获得高达),PLAYER:Fame:-100;SELF:tags:ROBOT;SELF:is_follower:True,,,当众拆解(需科学家),PLAYER:Fame:300;SELF:safety:DANGER;PLAYER:AddTag:SCIENTIST,FOLLOWER:SCIENTIST,,以为眼花(无视),SELF:emotion:NORMAL,,,3
503,性别互换,误食丹药，壮汉 {A} 变成了娇滴滴的女子。,CHOICE,STRONG,ANY,捧她做花魁,PLAYER:Money:1000;PLAYER:Fame:-200;SELF:eco_status:RICH;SELF:tags:DANCER,,,帮他寻找解药,PLAYER:Money:-500;PLAYER:Fame:200;SELF:tags:LOYAL,MONEY:500,,收为家丁(招募),PLAYER:Money:-100;SELF:is_follower:True,MONEY:100,,5
504,古董成精,传言 {A} 的传家宝夜里会说话，引来各路觊觎。,CHOICE,ANY,ANY,低价收购,PLAYER:Money:-200;PLAYER:Fame:-50;SELF:eco_status:ENOUGH,MONEY:200,,辟谣保护,PLAYER:Fame:100;SELF:safety:NORMAL;SELF:emotion:HAPPY,,,鉴定真伪(需学者),PLAYER:Fame:150;PLAYER:Money:100,FOLLOWER:SCHOLAR,,8
