id,building_type,zone,pos_x,pos_y,owner_type,owner_id,is_home,inventory,scenario
B_NORTH_BUSH_2,BUSH,GATE:NORTH,2258,919,,,0,,SANDBOX
B_NORTH_BUSH_3,BUSH,GATE:NORTH,2282,725,,,0,,SANDBOX
B_NORTH_BUSH_4,BUSH,GATE:NORTH,2652,910,,,0,,SANDBOX
B_NORTH_BUSH_5,BUSH,GATE:NORTH,2829,950,,,0,,SANDBOX
B_NORTH_TREE_1,TREE,GATE:NORTH,1901,697,,,0,,SANDBOX
B_NORTH_TREE_2,TREE,GATE:NORTH,2657,723,,,0,,SANDBOX
B_NORTH_FISH_1,FISHPOND,GATE:NORTH,2120,654,,,0,,SANDBOX
B_NORTH_FISH_2,FISHPOND,GATE:NORTH,2438,682,,,0,,SANDBOX
B_SOUTH_TREE_1,TREE,GATE:SOUTH,1909,3299,,,0,,SANDBOX
B_SOUTH_TREE_2,TREE,GATE:SOUTH,2264,3424,,,0,,SANDBOX
B_SOUTH_TREE_3,TREE,GATE:SOUTH,2472,3507,,,0,,SANDBOX
B_SOUTH_TREE_4,TREE,GATE:SOUTH,2663,3331,,,0,,SANDBOX
B_SOUTH_BUSH_1,BUSH,GATE:SOUTH,2023,3513,,,0,,SANDBOX
B_SOUTH_BUSH_2,BUSH,GATE:SOUTH,2391,3681,,,0,,SANDBOX
B_SOUTH_BUSH_3,BUSH,GATE:SOUTH,2625,3524,,,0,,SANDBOX
B_SOUTH_MINE_1,MINE,GATE:SOUTH,2835,3433,,,0,,SANDBOX
B_SOUTH_MINE_2,MINE,GATE:SOUTH,1861,3549,,,0,,SANDBOX
B_NW_MINE_1,MINE,NW,745,677,,,0,,SANDBOX
B_NW_MINE_2,MINE,NW,607,859,,,0,,SANDBOX
B_NW_MINE_3,MINE,NW,955,841,,,0,,SANDBOX
B_NW_MINE_4,MINE,NW,733,1035,,,0,,SANDBOX
B_SW_TREE_1,TREE,SW,836,3522,,,0,,SANDBOX
B_SW_TREE_2,TREE,SW,665,3568,,,0,,SANDBOX
B_SW_TREE_3,TREE,SW,1011,3541,,,0,,SANDBOX
B_SW_TREE_4,TREE,SW,758,3747,,,0,,SANDBOX
B_SW_TREE_5,TREE,SW,912,3728,,,0,,SANDBOX
B_NE_FISH_1,FISHPOND,NE,3694,758,,,0,,SANDBOX
B_NE_FISH_2,FISHPOND,NE,3852,881,,,0,,SANDBOX
B_NE_FISH_3,FISHPOND,NE,3814,1063,,,0,,SANDBOX
B_NE_BUSH_1,BUSH,NE,4007,799,,,0,,SANDBOX
B_NE_BUSH_2,BUSH,NE,4009,972,,,0,,SANDBOX
B_NE_BUSH_3,BUSH,NE,3601,1075,,,0,,SANDBOX
B_SE_BUSH_1,BUSH,SE,3726,3303,,,0,,SANDBOX
B_SE_BUSH_2,BUSH,SE,3882,3439,,,0,,SANDBOX
B_SE_BUSH_3,BUSH,SE,3822,3610,,,0,,SANDBOX
B_SE_BUSH_4,BUSH,SE,4040,3473,,,0,,SANDBOX
B_SE_TREE_1,TREE,SE,3987,3269,,,0,,SANDBOX
B_SE_TREE_2,TREE,SE,4017,3652,,,0,,SANDBOX
B_SE_TREE_3,TREE,SE,3655,3629,,,0,,SANDBOX
B_RES_WOOD,RESOURCE,MARKET_NEAR,1786,2160,,,0,木材:5,SANDBOX
B_RES_BERRY,RESOURCE,MARKET_NEAR,1486,2160,,,0,浆果:5,SANDBOX
B_RES_COIN,RESOURCE,MARKET_NEAR,1636,2190,,,0,铜钱:10,SANDBOX
